name,slug,location,number
Paypal,paypal,-1,8
Clone cards,clone-cards,-1,13
Wells Fargo,wells-fargo,0,18
Huntington Bank,huntington-bank,0,28
Woodforest Bank,woodforest-bank,0,16
Chase bank,chase-bank,0,18
BOA,boa,0,20
TD BANK,td-bank,1,24
USAA bank,usaa-bank,0,26
M&T bank,mt-bank,0,28
Citizens bank,citizens-bank,0,30
DCU bank,dcu-bank,0,32
TD bank,td2-bank,0,34
Citi bank,Citi-bank,0,42
AFCU bank,afcu-bank,0,38
Chime logs,chime-logs,0,23
Cash App Logs,cashapp-logs,0,22
Extraction,extraction,-1,46
